Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
Aditya Birla SL Tax Relief '96(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,39.99,-0.65,6.16,5.08,1000.0,1.78,1000.0
PGIM India Gilt Fund(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,25.21,3.47,2.46,3.91,5000.0,1.46,1000.0
PGIM India Gilt Fund(Q-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,13.83,3.47,2.46,3.74,5000.0,1.46,1000.0
IDFC Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,28.34,3.48,1.01,4.32,1000.0,1.62,1000.0
IDFC Dynamic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,10.83,3.48,1.01,2.34,1000.0,1.62,1000.0
HDFC Large and Mid Cap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,26.58,7.35,18.81,11.63,1000.0,2.09,1000.0
Tata Equity P/E Fund(Div Trig Opt A-5%), Equity - Value Fund, Open ended, NIFTY 500 - TRI,84.61,5.53,14.11,7.99,5000.0,1.77,1000.0
Axis Strategic Bond Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,23.1,5.25,3.95,5.91,5000.0,1.08,1000.0
Axis Strategic Bond Fund-Reg(Q-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.14,5.25,3.95,5.68,5000.0,1.08,1000.0
Axis Strategic Bond Fund-Reg(H-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.8,5.25,3.95,5.64,5000.0,1.08,1000.0
DSP Focus Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,33.29,-0.14,8.48,7.72,1000.0,2.14,1000.0
DSP Focus Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,15.8,-0.14,8.48,7.57,1000.0,2.14,1000.0
Kotak Credit Risk Fund(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,24.68,3.21,0.46,3.67,5000.0,1.71,1000.0
Kotak Credit Risk Fund(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,10.73,3.21,0.46,2.81,5000.0,1.71,1000.0
IDFC Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,11.27,3.48,1.01,4.07,1000.0,1.62,1000.0
ICICI Pru Regular Savings Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,11.37,4.71,8.09,7.37,5000.0,1.74,1000.0
Axis Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,24.54,5.39,2.48,5.09,5000.0,0.66,1000.0
Axis Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,10.23,5.39,2.48,4.91,5000.0,0.66,1000.0
Tata Hybrid Equity Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,72.86,6.62,13.42,8.57,5000.0,1.96,1000.0
ICICI Pru Medium Term Bond Fund(Q-IDCW), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,10.61,5.53,4.42,6.08,5000.0,1.41,1000.0
Axis Dynamic Bond Fund-Reg(H-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,10.62,5.4,2.48,4.65,5000.0,0.66,1000.0
HDFC Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,17.49,11.82,10.02,11.48,1000.0,0.65,1000.0
Axis Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,20.97,4.07,2.53,5.08,5000.0,0.99,1000.0
Axis Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,10.03,4.07,2.53,3.96,5000.0,0.99,1000.0
Axis Gilt Fund-Reg(H-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,10.26,4.07,2.53,4.65,5000.0,0.99,1000.0
IIFL Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1710.99,5.11,3.78,4.78,5000.0,0.25,1000.0
IIFL Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1000.07,5.11,3.72,4.03,5000.0,0.25,1000.0
HSBC Short Duration Fund-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,22.2,4.57,2.81,4.74,5000.0,0.75,1000.0
HSBC Short Duration Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,11.07,4.57,2.81,4.63,5000.0,0.75,1000.0
UTI Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,102.73,5.56,18.39,9.56,5000.0,2.51,1000.0
UTI Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,50.05,5.56,18.39,9.56,5000.0,2.51,1000.0
Franklin India Savings Fund(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,10.05,5.78,4.77,4.38,10000.0,0.28,1000.0
Edelweiss Government Securities Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,20.44,4.92,2.9,6.15,5000.0,1.34,1000.0
HSBC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,48.12,7.04,26.72,11.35,5000.0,1.85,1000.0
IIFL Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1005.34,5.05,3.68,4.01,5000.0,0.25,1000.0
Edelweiss Government Securities Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,20.45,4.93,2.9,6.15,5000.0,1.34,1000.0
Edelweiss Government Securities Fund-Reg(M-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,10.41,4.92,2.9,5.79,5000.0,1.34,1000.0
HSBC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,31.36,6.99,26.73,10.96,5000.0,1.85,1000.0
Axis Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,15.86,4.47,4.04,4.8,1000.0,1.05,1000.0
Axis Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.68,3.98,3.83,4.42,1000.0,1.05,1000.0
ICICI Pru Constant Maturity Gilt Fund(G), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,20.09,5.73,2.15,4.99,5000.0,0.39,1000.0
ICICI Pru Constant Maturity Gilt Fund(Q-IDCW Payout), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,10.84,5.73,2.15,4.44,5000.0,0.39,1000.0
Motilal Oswal Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,27.36,3.43,12.0,8.63,1000.0,2.02,1000.0
Motilal Oswal Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,20.02,3.43,12.0,8.58,1000.0,2.02,1000.0
Edelweiss Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,23.52,3.05,14.66,10.36,5000.0,2.21,1000.0
Edelweiss Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,19.31,3.05,14.66,10.36,5000.0,2.21,1000.0
DSP Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,16.72,3.77,7.84,6.37,1000.0,1.45,1000.0
DSP Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,12.56,3.78,7.84,6.25,1000.0,1.45,1000.0
Baroda BNP Paribas Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,13.62,4.08,4.01,4.87,5000.0,1.1,1000.0
Baroda BNP Paribas Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.84,4.09,3.97,4.59,5000.0,1.1,1000.0
IIFL Liquid Fund-Reg(W-IDCW Reinv), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1005.34,5.05,3.68,4.01,5000.0,0.25,1000.0
Baroda BNP Paribas Low Duration Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,10.06,5.27,3.84,4.44,5000.0,1.02,1000.0
Baroda BNP Paribas Low Duration Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,34.06,5.27,3.92,4.64,5000.0,1.02,1000.0
Baroda BNP Paribas Low Duration Fund(M-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,10.27,5.3,3.6,4.2,5000.0,1.02,1000.0
Baroda BNP Paribas Low Duration Fund(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,10.01,5.27,3.85,4.46,5000.0,1.02,1000.0
Aditya Birla SL Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,38.32,5.09,6.34,6.24,1000.0,1.19,1000.0
Aditya Birla SL Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,10.49,5.09,6.34,6.24,1000.0,1.19,1000.0
Aditya Birla SL Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,38.89,-1.7,15.54,6.9,1000.0,2.06,1000.0
