Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
SBI Magnum Constant Maturity Fund-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec,52.2,5.75,2.46,4.3,5000.0,0.63,1000.0
SBI Magnum Income Fund-Reg(IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,15.41,6.08,3.49,5.3,5000.0,1.46,1000.0
SBI Credit Risk Fund-Reg(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,16.98,5.52,4.3,5.87,5000.0,1.55,1000.0
SBI Credit Risk Fund-Reg(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,37.56,5.52,4.3,5.87,5000.0,1.55,1000.0
SBI Magnum Income Fund-Reg(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,58.9,6.08,3.49,5.3,5000.0,1.46,1000.0
SBI Magnum Medium Duration Fund-Reg(IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,16.49,5.75,3.57,5.84,5000.0,1.22,1000.0
SBI Magnum Medium Duration Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,42.55,5.75,3.57,5.84,5000.0,1.22,1000.0
IDFC Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,19.77,7.14,15.31,9.69,1000.0,2.03,1000.0
IDFC Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,74.05,7.16,15.73,10.09,1000.0,2.03,1000.0
IDFC Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,17.74,-1.67,11.48,9.11,1000.0,2.19,1000.0
IDFC Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,49.25,-1.66,11.9,9.5,1000.0,2.19,1000.0
IDFC Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,39.95,-0.03,10.32,7.29,1000.0,1.9,1000.0
IDFC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,136.79,-0.03,10.61,7.6,1000.0,1.9,1000.0
Sundaram Mid Cap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI,42.33,5.97,13.42,6.72,1000.0,1.87,1000.0
Sundaram Mid Cap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI,735.5,6.01,13.49,7.07,1000.0,1.87,1000.0
Tata Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,82.25,7.0,13.33,8.8,5000.0,1.96,1000.0
Tata Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,321.84,6.62,13.6,9.15,5000.0,1.96,1000.0
Tata Equity P/E Fund(Div Trig Opt B-10%), Equity - Value Fund, Open ended, NIFTY 500 - TRI,79.13,6.85,14.58,8.24,5000.0,1.77,1000.0
Tata Equity P/E Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,208.41,6.9,14.63,8.29,5000.0,1.77,1000.0
Tata Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1001.52,5.13,4.05,4.4,5000.0,0.32,1000.0
Tata Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,3489.4,5.14,4.15,5.24,5000.0,0.32,1000.0
Franklin India Savings Fund(Q-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,10.48,5.78,4.77,4.19,10000.0,0.28,1000.0
Franklin India Savings Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,42.1,5.78,4.77,4.66,10000.0,0.28,1000.0
